Sr No,Text,Original sentiment Score,Predicted Sentiment Score,S-Precision,S-Recall,Sentiment F1 Score,S-Accuracy,Word-Sentiment Pairing,sentiment-score pairing
11,"1) seeing the portion and the limited time i have. 
2) when the teacher isnt good at teaching and makes the session boring. 
3) the vastness of the portion. 
4) no
5)hobbies and technology. 
6) no
7) no
8) no
9) no
10) no",NIL,NIL,1,1,1,1,NIL,NIL
12,my phone is what distracts me the most i can say. i get irritated when its close to the deadline. i think i ask the questions i want to ask in class and there are a few classes that are a bit harder and there si some pressure. but all in all i think it will be fine. no one compares me with anyone regarding my studies. i dont think i know everything and i do think that studies are essential.,"distracted,anxious","anxious,proud,distracted",0.666666667,1,0.8,0.965517241,"{'phone': 'distracted', 'distract': 'distracted', 'i know everything': 'proud', 'pressure': 'anxious'}","{'distracted': 99, 'proud': 60, 'anxious': 80}"
13,i always forgot to see the timing of class  in the whatsapp.  it always changes .because of this i missed my class 2 to 3 times.,forgetful,forgetful,1,1,1,1,{'forget': 'forgetful'},{'forgetful': 100}
14,"3. whenever i sit down to study i can remember most of the things and next day its gone. its so frustrating i end up sad and frustrated as i am reaching no where. 
5. many things ,ex- household chores, electricity cut, unwanted disturbances and many more.","forgetful,frustrated,sad","sad,frustrated",1,0.666666667,0.8,0.965517241,"{'frustrating': 'frustrated', 'sad': 'sad', 'frustrated': 'frustrated'}","{'frustrated': 100, 'sad': 100}"
15,"i think my main distraction from studies would be social media. it's a way for me to escape from the pressure of studies. studies have not been a big issue for me as such, but when it comes to asking doubts or queries, i hesitate and it's not an easy task for me to do so. nonetheless, i was a fairly bright student, so there have been countless incidents where my classmates have been compared to me and vice versa. however, as an individual i feel that studies are essential but it can be made slightly lenient keeping students' mental health in mind. ","distracted,anxious","anxious,distracted",1,1,1,1,"{'distraction': 'distracted', 'pressure': 'anxious'}","{'distracted': 100, 'anxious': 80}"
16,"too many concepts too study 
",NIL,NIL,1,1,1,1,NIL,NIL
17,"1.not being able to go out of the house and the inability of socializing and not understanding things as required online, has turned into less interest in study. 
2. because there is a constant pressure of expectation for scoring good marks as i am in "" grade 10"".
3.mathsðÿ˜­ 
4. yes as mentioned above ( in 2 ). 
5. reading novels and tv or some series / youtube / netflix
6. yes, the only reason is the lack of proper guidelines from the school since everything is online . 
7. no it's not like i know everything but, i am asked to put in more efforts even when i am confident. 
8. yes because most of the quarries are unanswered as there is a certain time limit in lectures  scheduled on-line. 
9. no studies are extremely essential for me because i like to study. 
10.maybe some teachers from school but no one else really. ",anxious,anxious,1,1,1,1,{'pressure': 'anxious'},{'anxious': 80}
18,it is difficult to study because there is no link to what is going on. sitting at home college constantly burdens us with assignments. not being on campus has kept me out of connect with the syllabus and it is difficult to do the assignments as friends are not there to discuss with. i do compare myself with others and feel bad when i get average marks. ,low confidence,NIL,0,0,0,0,NIL,NIL
19,in ss and chemistry,NIL,NIL,1,1,1,1,NIL,NIL
20,"too many concepts too study 
",NIL,NIL,1,1,1,1,NIL,NIL
21,"1 loneliness bringing sorrows
2 when i dont understand concept in my studies 
3 marks or scoring 
4 yes pressure to perform good 
5 social media 
6 when i dont understand concept taught 
7 no
8  yes i feel i m only one who didnt understand 
9 no studies r very important 
10 yes sometimes ",confused,confused,1,1,1,1,{'didnt understand': 'confused'},{'confused': 80}
22,none of the above ,NIL,NIL,1,1,1,1,NIL,NIL
23, engg  is not as easy as we lesson  and we  need to experience  it ,NIL,NIL,1,1,1,1,NIL,NIL
24,personally i dont face any problem regarding to studies,NIL,NIL,1,1,1,1,NIL,NIL
25,programming language is difficult to understand ,NIL,NIL,1,1,1,1,NIL,NIL
26,i need complete silence while studying. i dont want any disturbance or noise because of which my mind gets distracted from studies. and yes sometimes i feel some kind of pressure while studying because of difficult topics which i didnt understood properly. most of the time i also hesitate to ask any queries due to which some of the time some topics remains uncleared. no one can say that studies are not essential because in today's world studies are one of the important and essential thing of everyone's life.,"anxious,distracted,irritable",anxious,1,0.333333333,0.5,0.931034483,{'hesitate': 'anxious'},{'anxious': 80}
27,i cant remember all the points in exam,forgetful,forgetful,1,1,1,1,{'cant remember': 'forgetful'},{'forgetful': 80}
28,i confused while doing study because of pressure.,"confused,anxious","anxious,confused",1,1,1,1,"{'confuse': 'confused', 'pressure': 'anxious'}","{'confused': 100, 'anxious': 80}"
29,"1. it's mostly about distraction through mobile 
2.at a point were i am stuck or if sometimes it's just that something pulls into the mind and i've lost my attention
3 mostly the faculty who's teaching me
4 obviously there's a lot of pressure that we arent asked about it's family's and society's,sometimes we call it as peer pressure
5. mostly mobile and current scenario around me
6 yes, i do get confused during studies that from where to start, what to do
7. i dont think that i know everything,but there's that constant pressure of you should study atleast this much hours and all
8. sometimes when some faculties arent that great at solving doubts or at listening at them 
9 no i think studies are a important part that has shaped me that i am today
10 frankly everyone does that that's the most demotivating thing 
","confused,anxious","anxious,confused,proud",0.666666667,1,0.8,0.965517241,"{'i know everything': 'proud', 'confused': 'confused', 'pressure': 'anxious'}","{'proud': 60, 'confused': 100, 'anxious': 80}"
30,i am not able to remember it quickly ,forgetful,forgetful,1,1,1,1,{'not able to remember': 'forgetful'},{'forgetful': 80}
31,no i have no sorrow. i irritated when there are lot of people wandering all around me or in my room. i have some dreams  in my life and i want to fulfill it. my phone distracts me while studying and  i want to get rid of it. but it is very difficult in the lockdown to get rid from it. i have many friends like me who are very confused regarding to th,"distracted,confused","confused,distracted",1,1,1,1,"{'phone': 'distracted', 'distract': 'distracted', 'confused': 'confused'}","{'distracted': 98, 'confused': 100}"
32,"unable to concentrate properly. lots of distractions like social media. portion stress. finding the proper way to study like how to take notes, what is important and what not.",NIL,NIL,1,1,1,1,NIL,NIL
33,basically two subject gives problem as too. teacher about english subject is always teach in english. one or two month or six month in which difficult to understand. but after them it will be  not difficult as previous. in regular lecture ( half hours) teaching is not possible to understand. that's why take an extra lecture for this. for mathematics practise is important. every teacher teach at the level of student that might be possible to understand each students. science is also very interesting subject. but most of the teachers are only read not  explain very well.  ,NIL,NIL,1,1,1,1,NIL,NIL
34,"as a engineering student i mostly face problem with system as they want us to cover all academic related work in given deadline, whatever else you are doing at that time even if there are other competition or hackathon going on they dont care they want those worthless writeups ready before deadline n if due to any reason if you are not able to complete it then there are chances you might get fail in that exam. with this i think our education system is not industry centric what they taught in college will be of no use in industry or in practical life n to make us ready for industry this they give us extra training rather if they taught us according to trend of market from start of engineering it would be more efficient.","irritable,upset,sad","irritable,shameful,sad",0.666666667,0.666666667,0.666666667,0.931034483,"{'worthless': 'shameful', 'fail': 'sad', 'not able to complete': 'irritable'}","{'shameful': 70, 'sad': 80, 'irritable': 80}"
35,"i want to become an good administrator.i completed my graduation. to become deputy collector is my decision ..but sometimes , negative thoughts come in mind ...main root of my distraction in study is due to overthinking about future...whether i will suceed in my goal or not? ...i havce closed my all plan b ...n mostly not interested in it...
this goal is not only to acheive that position ..but i have  decided to much goals related to that ..frequently thoughts come in mind if not succeed , what will be my future life ? will i get satisfaction?  ",distracted,distracted,1,1,1,1,{'distraction': 'distracted'},{'distracted': 100}
36,"my concentration is very poor i cant concentrate on my studies 

","irritable,sad","irritable,sad",1,1,1,1,"{'poor': 'sad', 'cant concentrate': 'irritable'}","{'sad': 80, 'irritable': 80}"
37,i am pursuing ib board eduaction. i mainly face problems with different language's that we study.. as thet are not commanly used in surrounding or at home. sometime while making project's hard to understand what to pick from google.. what's the right information.  attending online exams gets distractions easily being at home. when a topic is hard to understand or to remember creats more pressure or irritation hence lack interest in that subject or topic... ,NIL,irritable,0,0,0,0,{'face problems': 'irritable'},{'irritable': 70}
38,nothing bothers me,NIL,NIL,1,1,1,1,NIL,NIL
39,"if i could not concentrate on my studies well i get in sorrow. then it also become tough to remember things that i have read. now a days it has become habit that teachers send photos or notes on whatsapp groups and ask children to copy that down. which obviously note good for health. it affects on eye sight brain development body posture and many more. so while reading through the small screen of cell phone it leads towards headache which again leads to lack of concentration. also children get distracted because of the mobile. so i think there must be some solution or alternative for this. 
i wont say i get pressurized while studying but sometimes i get tensed. the marking system creats this tension. besides the understanding the topic, children are more focused on how to score more n more marks. so at some extent the marks creats pressure. 
i never like studies are of know use. and a human being is not useful without knowledge which includes all type of knowledge. 
yes, sometimes i feel hesitation while asking a query. it feels like, is it a silly question to ask; or else it is like i feel find the answer by my self. 
yes my parents do ask me to follow my peers or they praise them in front me. but i took it positively. but yes, i felt sad or get irritated if it happens frequently. according to me no one's parents should compair their child to his/her friends. it may affect the child's confidence. besides that they should encourage the child whenever necessary.
i personally think that it's necessary to change the education system like there should not be marking system. besides marking system the grading system should be applied. this just an example but there are few more things that are need to be changed. this will to solve many of these problems or issues which children and parents are facing now a days.","sad,forgetful,irritable,distracted","irritable,sad,forgetful,distracted",1,1,1,1,"{'sorrow': 'sad', 'could not concentrate': 'distracted', 'tough to remember': 'forgetful', 'sad': 'sad', 'irritated': 'irritable'}","{'sad': 92, 'distracted': 80, 'forgetful': 80, 'irritable': 100}"
40,"i got distracted by my phone and sometimes my parents and relatives. due to this online platform i dont really feel study. i cant understand what i am good at. it's very difficult to concentrate. sometimes i feel like i am doing nothing about my studies and that's why i overdo some things. sometimes i  feel so disappointed about myself that i am not doing enough. i overthinking about my future and my studies that's a big distraction. i feel so confused sometimes that is this the way i wanted my studies to be? i cant find my answers. i feel so stressed about my online exams. because i am not prepared because i dont feel like studying. i dont know why but i am not enjoying my studies. i am always stressed and overthinking everything. recently i've been trying not to be on social media. but i dont feel any difference. i am still confused, worrying about my studies and my future. i feel pressure. ","distracted,confused,anxious","anxious,confused,distracted",1,1,1,1,"{'cant understand': 'confused', 'dont know': 'confused', 'distraction': 'distracted', 'stress': 'anxious', 'confused': 'confused', 'worry': 'anxious', 'pressure': 'anxious'}","{'confused': 82, 'distracted': 100, 'anxious': 88}"
41,"i get irritated in my studies chiefly, when i am unable to understand the given work or when i am not able to recall a lesson that i had memorized in the past. in my studies, the thing that bothers me the most is my slow retaining. it take me ages before finally managing to memorize the subjects i am weak at. i dont seem to feel too much pressure in my studies but at times, i do. quite often i get uninterested in  some subjects and that is when i start fidgeting and getting super distracted. i do get confused quite alot during my studies because either, i am not able pay attention or if it is something completely new to me. generally, i dont hesitate to ask questions during my classes but sometimes i do when i feel like 'this is something i should know'. i feel that studies are really vital for me. ","tired,low confidence,confused","upset,low confidence,confused,tired",0.75,1,0.857142857,0.965517241,"{'slow': 'tired', 'bothers me': 'upset', 'weak': 'low confidence', 'confuse': 'confused'}","{'tired': 60, 'upset': 60, 'low confidence': 80, 'confused': 100}"
42,"i like studying and knowing things around me.no, sorrow doesnt distract me from studying.online games and sometimes i dont interest to sit and study; otherwise i am interested in studying. my friends are good and helpful , but sometimes there are clashes between us that makes me not to concentrate. noone compares  me with others in studies.",NIL,NIL,1,1,1,1,NIL,NIL
43,do you feel ,NIL,NIL,1,1,1,1,NIL,NIL
44,"thinking about my future makes me think more and more. 
when i dont understand the concept. 
after spending hours studying then also cant understand the concept. 
no pressure as such. 
my mobile phone",NIL,NIL,1,1,1,1,NIL,NIL
45,online education has drained every student's brain. education system needs to be changed especially reservation based systems. ,NIL,NIL,1,1,1,1,NIL,NIL
46,i feel like our indian government doesnt gove importance to the education system that is the reason the reason so many students are unemployed and the syllabus we study is so out dated comparing to the industrial world.,frustrated,"upset,frustrated",0.5,1,0.666666667,0.965517241,"{'unemployed': 'frustrated', 'compare': 'upset'}","{'frustrated': 80, 'upset': 80}"
47,i do feel more pressure while doing my study,anxious,anxious,1,1,1,1,{'pressure': 'anxious'},{'anxious': 80}
48,yes,NIL,NIL,1,1,1,1,NIL,NIL
49,"not following the passion, studying/getting degree due to family pressure just for the sake makes it difficult to study.",NIL,NIL,1,1,1,1,NIL,NIL
50,no,NIL,NIL,1,1,1,1,NIL,NIL
51,nil,NIL,NIL,1,1,1,1,NIL,NIL
52,"answering pointwise rather than paragraph:)
1. ex girlfriend.
2. when it becomes difficult to understand, i generally get irritated.
3. timely completion bothers me the most.
4. not always, i only feel pressure during a day before exam.
5. the fact that i havent started studying distracts me from studying.
6. i never get confused if i know what i am studying.
7. i never think like that, they ask to study because there is no such term as ""my study is complete and i know everything"".
8. i never hesitate to ask queries.
9. no i dont feel studies are not essential for me.
10. no, nobody compares me with some other person in studies, atleast not in my family.","distracted,anxious",NIL,0,0,0,0,NIL,NIL
53,nothing,NIL,NIL,1,1,1,1,NIL,NIL
54,"1. which are the things that take you in deep sorrow because of which you are unable to study?
ans.. mood and random pop up 

2. when do you get irritated about your studies? why?  
ans.. if i dont the ans of any question which i am trying to solve i get irritated. same goes while i am programming

3. what bothers you the most, related to your studies?
ans.. whether it is enough to crack the exams or not 
     
4. do you feel any pressure while doing your studies?
ans.. not particularly, but yes if i plan to study a particular part of my subjectsand it didnt completed
    
5. what distracts you from your studies? 
ans.. random calls from frds or urgent work from mom and dad
                          
6. do you get confused while doing studies? if yes, why?
ans.. not really, but sometimes it feels like i want to study but didnt find a good subject

7. do you feel that you know everything; still your parents and teachers ask you to do the study?
ans.. no, i never consider that i know everything 

8. do you hesitate to ask your queries in class?
ans.. no

9. do you feel studies are not essential for you?
ans.. no, it's the basic necessity 

10. do you or anyone compare you with your friends in your studies?
ans.. not really, but sometimes i do

sometimes my mood to study depends on the family conditions around me, but in totally i love studying and i enjoy my field in which i am currently studying",irritable,"irritable,proud,anxious,distracted",0.25,1,0.4,0.896551724,"{'irritated': 'irritable', 'i know everything': 'proud', 'distract': 'distracted', 'hesitate': 'anxious'}","{'irritable': 100, 'proud': 60, 'distracted': 100, 'anxious': 80}"
55,compare you with your friends in,NIL,NIL,1,1,1,1,NIL,NIL
56,"it is very hard a lot of pressure specially during this pandamic i cry my lungs out cause i cant study i need the education system to improve 
2) i get irritated because of a lot of portion 
3) the godamn pressure it makes me wanna suicide
4) yes a lot as i mentioned it gives me anxiety and depression
5) dude teenage what do u expect 
6) yes, a lot teaching method of education system 
7) yes a lot i am done with this 
8) yes anxiety and pressure bro
9) well they are tho. 
10) everyone seriously every godamn person alive","depressed,anxious,irritable,low confidence","anxious,irritable,low confidence,depressed",1,1,1,1,"{'pressure': 'anxious', 'cry': 'depressed', 'cant study': 'low confidence', 'irritated': 'irritable', 'suicide': 'depressed', 'anxiety': 'depressed', 'depression': 'depressed'}","{'anxious': 81, 'depressed': 84, 'low confidence': 80, 'irritable': 100}"
57,sometimes the story material is not available online,NIL,NIL,1,1,1,1,NIL,NIL
58,sometimes study material is not available online. difficulty in understanding concepts. more visual aids required. traditional teaching patterns need to be changed. ,NIL,NIL,1,1,1,1,NIL,NIL
59,sometimes study material is not available online. difficulty in understanding concepts. more visual aids required. traditional teaching patterns need to be changed. ,NIL,NIL,1,1,1,1,NIL,NIL
60,online studies are the big sorrow. we somewhere sometimes have network issues and most of the students dont  laptop pc with webcam. still teachers forces us to turn on the video. half times goes into it. sitting hours in front of mobile laptop is irritating. yeah we used to do it but now as we are in this pandemic  we are just sitting infront of the laptop mobile. we need studies but this us becoming hectic day by day.,NIL,NIL,1,1,1,1,NIL,NIL
61,because of this pandemic situation our entrance exams are getting postpone and now we are not interested in studies. we dont what to do ,NIL,NIL,1,1,1,1,NIL,NIL
62,i dont understand ol lectures,confused,NIL,0,0,0,0,NIL,NIL
63,i am officially in tenth std right now and due to the corona situation i am stuck in my village i have access to all books which i need here . also online classes are from morning 8 to evening 6 with a gap of only half hour in between due go thid i am on my mobile screen nonstop hurting my eyes to the highest extent.also online studies are not at all understanding.no doubts are cleared very clearly .the studies are not going up to the mark .after so long of online classes...to do self study is irritating and annoying . also there is always a pressure of parents and school is sending us more assignments than they used to in practical school its very hectic!,upset,irritable,0,0,0,0.931034483,{'hurt': 'irritable'},{'irritable': 100}
64,"my health problems take me into deep sorrow because of which i am unable to study .i usually get irritated of studies when i dont understand it or i dont want to write any thing .what bothers me is that  i study but what i still dont pass . no i dont feel any pressure .food ,tv,games this all things distract me from studies .yes sometimes i get confused while studying because i dont understand it.no cause they push me so that i study and get big .no i dont hesitate to ask the question in class.they are essential for me . no one compares me with anyone ","distracted,anxious,sad","upset,sad,distracted",0.666666667,0.666666667,0.666666667,0.931034483,"{'sorrow': 'sad', 'bothers me': 'upset', 'distract': 'distracted'}","{'sad': 80, 'upset': 60, 'distracted': 100}"
65,sometimes i feel pressure ,NIL,NIL,1,1,1,1,NIL,NIL
66,sometimes i feel pressure ,NIL,NIL,1,1,1,1,NIL,NIL
67,online lecs,NIL,NIL,1,1,1,1,NIL,NIL
68,i hesitate to ask my foubt,anxious,anxious,1,1,1,1,{'hesitate': 'anxious'},{'anxious': 80}
69,i am not able to understand the topic properly,confused,confused,1,1,1,1,{'not able to understand': 'confused'},{'confused': 70}
70,"during studying in online reference books more examples rather than theoretical knowledge.
theoretical knowledge is necessary but too much theoretical knowledge i dont like.
explaining concepts by more and more examples is what i like.",hate,irritable,0,0,0,0.931034483,{'dont like': 'irritable'},{'irritable': 60}
71,i get irritated in my studies when i need to study a particular topic for my exam but i am unable to understand it. social media distracts me considerably in my studies. also i love to watch tennis which can also be a distraction on some days. plus there is always this thought in my mind that even if i study well what if i am not able to deliver properly on exam day it contributes to some amount of pressure,"distracted,anxious","anxious,distracted",1,1,1,1,"{'distract': 'distracted', 'distraction': 'distracted', 'pressure': 'anxious'}","{'distracted': 100, 'anxious': 80}"
72,"fear of failure is a thing to tackle amidst studies.after a hectic college day and hw studying becomes a difficult task.pressure is automatically generated before examination period which is also good thing as it helps boost the confidence and in turn leads to more focused study tho it can be stressful at times. competition leads to comparison which is very difficult to avoid in today's world.although my parents being always supportive, never let me feel defeated or lost.they help me cope up and show me the brighter side of life! -viraj shinde",NIL,upset,0,0,0,0,{'lose': 'upset'},{'upset': 80}
73,"lack of attention , distractions such as mobile phones",NIL,NIL,1,1,1,1,NIL,NIL
74,study management of both 1th n 2nd yr as there is nt proper decision taken for medical student ,NIL,NIL,1,1,1,1,NIL,NIL
75,"i dont feel like studying because i think i dont know anything so how will i cope up to that. i get irritate when i try focus on something really hard but unable to read or focus or understand that. how will i cover all this subject and will i be able to make it in the exams or viva. yeah i do feel pressure of exam performance after all that hard work.  the fear pressure of performance and how i am gonna do all this  yeah i get confused at the very starting that's from where should i start! no, nowadays i dont feel that i know everything so be asked by parents to study is pretty obvious. sometimes yes sometimes no, hesitation to ask in class my queries.  no, i feel study is really important essential for me. yeah on regular basis i am being compared to my family friends children, my friends, that irritates me more.","anxious,confused,fearful,irritable,upset","anxious,irritable,upset,confused,fearful",1,1,1,1,"{'dont know': 'confused', 'pressure': 'anxious', 'fear': 'fearful', 'confused': 'confused', 'compare': 'upset', 'irritate': 'irritable'}","{'confused': 84, 'anxious': 80, 'fearful': 100, 'upset': 80, 'irritable': 100}"
76,to learn it,NIL,NIL,1,1,1,1,NIL,NIL
77,"when i am not able to learn properly or understand it at that tym i feel frustrated. 
my phone always distract me 
studies are an essential part of my lyf
",distracted,distracted,1,1,1,1,"{'phone': 'distracted', 'distract': 'distracted'}",{'distracted': 98}
78,unable to connect lecture while power off,NIL,NIL,1,1,1,1,NIL,NIL
79,today's educational system uses outdated syllabus for study.in today life new technologies introduced fastly but student study outdated material.my personally opinion that they can change study area according to world ,NIL,NIL,1,1,1,1,NIL,NIL
80,"i think because social media but we cant stop using it.as it is need of today.
",NIL,NIL,1,1,1,1,NIL,NIL
81,g,NIL,NIL,1,1,1,1,NIL,NIL
82,"fear of failure is a thing to tackle amidst studies.after a hectic college day and hw studying becomes a difficult task.pressure is automatically generated before examination period which is also good thing as it helps boost the confidence and in turn leads to more focused study tho it can be stressful at times. competition leads to comparison which is very difficult to avoid in today's world.although my parents being always supportive, never let me feel defeated or lost.they help me cope up and show me the brighter side of life! -viraj shinde",NIL,upset,0,0,0,0,{'lose': 'upset'},{'upset': 80}
83,"i feel heavily attracted to my smartphone whenever it rings/vibrates. also, i am unable to maintain focus for long periods of time (currently, ~30 minutes is my limit). i am unable to ""feel"" the concepts, hence not understanding them well enough. i get easily irritated upon incomprehension of any topic.","distracted,irritable,confused","irritable,confused,distracted",1,1,1,1,"{'smartphone': 'distracted', 'attract': 'distracted', 'vibrate': 'confused', 'unable to maintain focus': 'distracted', 'irritated': 'irritable', 'incomprehension': 'confused'}","{'distracted': 80, 'confused': 86, 'irritable': 100}"
84,"1. nothing just sometimes we postpone studies and done it at time of examination
 2. not happen
 3. i study subject but somewhat manner i forget some topics
 4. never 
5.sometimes mobile or depends on mood.
6. no 
7. no 
8. sometimes i think whether the answer which is given by me is it wrong 
9.never 
10.no  whatever but i dont care about such think that anyone compare me.",forgetful,forgetful,1,1,1,1,{'forget': 'forgetful'},{'forgetful': 100}
85,no,NIL,NIL,1,1,1,1,NIL,NIL
86,"2. when i didnt understand what i am studying. 
4.no
5.mobile
7.no i dont 
8.sometimes
9.no it is essential
",NIL,NIL,1,1,1,1,NIL,NIL
87,"i dont have any such difficulties while studying. but learning a new topic by yourself is surely a tedious task as we dont know where to start, what books we should refer as we are the first one to try to learn that topic or subject.but once that topic is done it is remembered by me for a quite a long time even though i dont have that topic or subject in my course. but surely i would love to have a practical knowledge more as compared to theoretical as we want to execute the things that we have learnt in our real life and that cant be done without practical knowledge.",NIL,NIL,1,1,1,1,NIL,NIL
88,net problem,NIL,NIL,1,1,1,1,NIL,NIL
89,have bit of attention deficit . have done occupational therapy for the same . no emotional disturbance as such . i am my own competitor . my parents support me a lot ,NIL,NIL,1,1,1,1,NIL,NIL
90,watching tv and games ..diatract my studies .yes   my family compares with other kids ..that also distract me from my studies .,"distracted,upset","upset,distracted",1,1,1,1,"{'compare': 'upset', 'distract': 'distracted'}","{'upset': 80, 'distracted': 100}"
91,"i am not able to understand completely the things thought in online class
and die to exams in every 21 days my studies are not getting completed on time and the pressure of getting good marks in the test","anxious,confused","anxious,confused",1,1,1,1,"{'not able to understand': 'confused', 'pressure': 'anxious'}","{'confused': 70, 'anxious': 80}"
92,"i dont face too many problems in my studies; however, i lose motivation to study occasionally. personally, playing video games and watching movies tend to distract  me the most. i understand that studying is important and will help me in my future, but i still procrastinate. although i finish studying, distractions and lack of motivation cause me to leave things last-minute. my family is watching a movie or my friends playing video games bother me the most while i study since it makes me tempted to join them. ","upset,distracted","upset,distracted",1,1,1,1,"{'distract': 'distracted', 'lack of motivation': 'upset', 'bother me': 'upset', 'procrastinate': 'upset', 'distraction': 'distracted'}","{'distracted': 100, 'upset': 72}"
93,"1.my marks 
2.yes, simply because i am not able to achieve even though a work hard 
3.subject's i am not interested in for eg
4.yes
5.games because i like  coding and making games
6.yes, i dont understand from where to start 
7.yes 
8.yes 
9.yes, we should be thought what we like not what we dont have to use in the future 
10.yes 
","bored,confused",confused,1,0.5,0.666666667,0.965517241,{'dont understand': 'confused'},{'confused': 80}
94,it's difficult to understand if no physical significance is not explain,NIL,NIL,1,1,1,1,NIL,NIL
95,i think so i get distracted from studies due to cell phone.i dont hesitate to ask questions in classroom.on the results day everybody's parents compare theirs child marks with other students.,distracted,distracted,1,1,1,1,{'distract': 'distracted'},{'distracted': 100}
